ticker,passed,reason,close,sma10,sma50,sma200,macd,macd_signal,macd_hist,rsi14,volume,vol_avg20,volume_multiple,ref_high,require_52w_high
MGNI,True,,25.33,23.24,22.4882,17.0452,0.393769,0.260616,0.133153,63.59,4881800.0,2949455.0,1.66,24.67,True
GOOGL,False,macd_not_bullish_cross;volume_below_threshold,208.49,203.086,187.4312,177.5194,4.94346,5.037555,-0.094095,71.47,29904300.0,30957770.0,0.97,206.09,True
MSFT,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,504.26,513.484,505.3247,439.1017,0.306354,3.673391,-3.367037,43.19,21621700.0,23112385.0,0.94,534.7609,True
NVDA,False,macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,179.81,179.305,167.6928,138.061,2.829586,4.114035,-1.284449,58.44,162515700.0,161460820.0,1.01,183.16,True
TSLA,False,macd_not_bullish_cross;volume_below_threshold;not_breaking_recent_high,346.6,334.145,322.0288,328.9266,4.643032,3.548788,1.094244,60.89,86405500.0,78413660.0,1.1,479.86,True
SHOP,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,140.53,142.41,124.9806,109.8934,4.730233,6.012737,-1.282504,56.32,4851000.0,9339665.0,0.52,154.9,True
DOCN,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,31.08,30.878,29.3848,33.9428,0.437112,0.541463,-0.104351,52.33,1329500.0,3754295.0,0.35,46.69,True
SUPX,False,macd_not_bullish_cross;rsi_not_in_range,58.2,34.0695,17.5735,9.3868,7.641282,5.243885,2.397397,87.34,819100.0,544705.0,1.5,42.84,True
SOUN,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,12.11,14.207,11.7336,11.5036,0.407302,0.701397,-0.294095,46.13,51886100.0,52318885.0,0.99,24.23,True
BBAI,False,price_not_above_all_smas;macd_not_bullish_cross;rsi_not_in_range;volume_below_threshold;not_breaking_recent_high,5.3,5.7,6.352,4.3949,-0.318671,-0.169138,-0.149534,37.37,51638900.0,78559165.0,0.66,9.78,True
